Name of Clinic,Address,Email,Phone,Services
Our Clinics,"4 Pimpama QLD 4209 Book here View map Back In Motion Podiatry Bundall b 07 5592 4141 1 Allawah St (cnr Bundall Rd) Bundall, Gold Coast QLD 4217 Book here View map Back In Motion Podiatry Burleigh Waters b 07 5613 3115 Shop E, 1/6-8 Classic Way Burleigh Waters QLD 4220 Book here View map Hope Island b 07 5656 2400 Shop 5, 10 Santa Barbara Road Hope Island QLD 4212 Book here View map Physiologic Podiatry Robina b 07 5578 7155 334 Scottsdale Drive Robina QLD 4226 Book here View map Varsity Lakes (formerly Robina) b 07 5562 5055 Shop 1 190 Varsity Parade Varsity Lakes QLD 4227 Book here View map New South Wales 12 clinics Bathurst b 02 6331 1122 41 Keppel St Bathurst NSW 2795 Book here View map Blacktown b 02 9622 5707 Suite 113/30 Campbell Street Blacktown NSW 2148 Book here View map Burwood b 02 9744 6566 6 Railway Parade Burwood NSW 2134 Book here View map Casula b 02 9822 2622 6 Holston Street Casula NSW 2170 Book here View map Cessnock b 02 4990 4540 298 Maitland Rd Cessnock NSW 2325 Book here View map Charlestown b 02 4966 0799 190 Pacific Highway Charlestown NSW 2290 Book here View map Dubbo b 02 6867 9410 Shop 18, Orana Mall Shopping Centre 56 Windsor Parade Dubbo NSW 2830 Book here View map Mittagong b 02 4872 4168 48 Bowral Road Mittagong NSW 2575 Book here View map Moorebank b 02 9822 2780 2 Stockton Avenue Moorebank NSW 2170 Book here View map Narellan b 02 4647 0703 Suite 407, 326 Camden Valley Way Narellan NSW 2567 Book here View map Orange b 02 5301 6549 Shop V5-7, Orange City Centre 190 Anson St Orange NSW 2800 Book here View map Tweed Heads b 07 5524 8440 1/107 Minjungbal Drive Tweed Heads South NSW 2485 Book here View map North Queensland 5 clinics Cairns b 07 4033 2218 Shop 2, 494 Mulgrave Road Earlville QLD 4870 Book here View map NQ Foot & Ankle Centre Cowboys Centre of Excellence b 07 4723 5500 North Queensland Cowboys Centre of Excellence 26 Graham Murray Place Railway Estate QLD 4810 Book here View map NQ Foot & Ankle Centre Kirwan b 07 4723 5500 NQ Foot & Ankle Centre 93 Thuringowa Drive Kirwan QLD 4817 Book here View map Thuringowa b 07 4723 1503 Shop 129, Willows Shopping Centre Cnr Thuringowa Dr & Hervey Range Rd Thuringowa Central QLD 4817 Book here View map Townsville b 07 4725 3755 140 Ross River Road Mundingburra QLD 4812 Book here View map Northern Territory 1 clinic Palmerston b 08 8932 2233 Shop 15, Oasis Shopping Village 15 Temple Tce Palmerston NT 0830 Book here View map QLD 1 clinic Back In Motion Podiatry Mudgeeraba b 07 5619 2180 Unit 1, 63 Railway Street Mudgeeraba QLD 4213 Book here View map Queensland 1 clinic Foundation Podiatry b 07 4775 1760 140 Ross River Road Mundingburra QLD 4812 Call now View map South Australia 9 clinics Aldinga b 08 7286 3003 Aldinga Medical Centre 89 Rowley Road Aldinga Beach SA 5173 Book here View map Blackwood b 08 8278 9777 236 Main Road Blackwood SA 5051 Book here View map Christies Beach b 08 8384 7626 141 Beach Rd Christies Beach SA 5165 Book here View map Hove b 08 8358 2211 372 Brighton Rd Hove SA 5048 Book here View map Modbury b 08 8265 4130 2/959 North East Rd Modbury SA 5092 Book here View map My FootDr Woodville b (08) 8243 1095 Shop 1 924 Port Road Woodville West SA 5011 Book here View map Semaphore (formerly Queenstown) b 08 8234 8666 160 Semaphore Road Semaphore SA 5019 Book here View map Stirling b 08 8339 7551 Shop 10 Stirling Tiers 55 Mt Barker Road Stirling SA 5152 Book here View map Unley b 08 8357 0747 98 Unley Rd Unley SA 5061 Book here View map Sunshine Coast 2 clinics Allsports Podiatry Noosa b 07 5447 3312 Unit 4, 17 Sunshine Beach Rd Noosa QLD 4567 Call now View map Beerwah b 07 5494 0060 58 Simpson Street Beerwah QLD 4519 Book here View map Tasmania 2 clinics Devonport b 03 6424 8182 26 William St Devonport TAS 7310 Book here View map Ispahan b 03 6224 3555 315 Macquarie Street Hobart TAS 7000 Call now View map Victoria 15 clinics Back In Motion Podiatry Bacchus Marsh b (03) 5367 4130 118 Gisborne Rd Bacchus Marsh VIC 3340 Book here View map Back In Motion Podiatry Bayswater b 03 9720 7676 Shop 9a 348 Mountain Hwy Wantirna VIC 3152 Book here View map Back In Motion Podiatry Melton b (03) 9743 4479 386/388 High St Melton VIC 3337 Book here View map Ballarat b 03 5331 2777 34 Armstrong St N Ballarat Central VIC 3350 Book here View map Border Podiatry Wodonga b 02 6024 5577 5/91 Hume St Wodonga VIC 3690 Book here View map Boronia b 03 9762 9404 12 Floriston Rd Boronia VIC 3155 Book here View map Cranbourne b 03 5996 3633 26 William St Cranbourne VIC 3977 Book here View map Pakenham b 03 5941 7899 54 James St Pakenham VIC 3810 Book here View map The Foot and Ankle Clinic Moe b 03 5127 8555 11 Haigh Street Moe VIC 3825 Book here View map The Foot and Ankle Clinic Podiatry Chadstone b 03 9569 5796 79 Chadstone Road Malvern East VIC 3145 Book here View map The Foot and Ankle Clinic Podiatry East Bentleigh b 03 9570 3213 951 Centre Road East Bentleigh VIC 3165 Call now View map The Foot and Ankle Clinic Sale b 03 5144 7655 195 Raymond Street Sale VIC 3850 Book here View map The Foot and Ankle Clinic Traralgon b 03 5174 2615 39 Grey Street Traralgon VIC 3844 Book here View map Wantirna b 03 9720 7676 Shop 9a 348 Mountain Hwy Wantirna VIC 3152 Book here View map Warragul b 03 5623 4677 1/65 Victoria St Warragul VIC 3820 Book here View map Western Australia 5 clinics BIM Podiatry Balcatta b (08) 9908 9100 Lot 2, 386 Wanneroo Road Westminster WA 6061 Book here View map Back In Motion Podiatry Como b 08 9313 3414 Unit 3 / 460 Canning Highway Como WA 6152 Book here View map Currambine b 08 9304 1898 Suite 12/13 Hobsons Gate Currambine WA 6028 Book here View map Warwick b 08 9447 1117 Shop SP039, Warwick Grove Shopping Centre Cnr Beach and Erindale Road Warwick WA 6024 Book here View map Wembley Downs b 08 9245 2084 136B Weaponess Rd Wembley Downs WA 6019 Book here View map Book an appointment online or call us on 1800 366 837",,1800366837,Services & Advice Our Services Bracenfix™ - Ingrown Toenail Treatment Surgical Podiatry Supramalleolar Orthotics (SMOs) Clinical Podiatry Health Funds Custom Foot Orthotics Video Gait Analysis Fungal Nail Infection Laser Treatment Diabetes and Footcare Custom Footwear National Disability Insurance Scheme (NDIS) CAM Walker (Moon Boot) Cam Walker - (Moon Boot) Seniors Footcare Custom Cricket Shoes Cosmetic Nail Restoration Shockwave Therapy Footwear Cobra9 Cycling Orthotics Paraffin Wax Bath Treatment Cryotherapy For Plantar Warts SWIFT Microwave Wart Therapy Resources Ankle-Foot Orthoses Richie Brace Footwear Altra Archies OST1st Running Socks Propet ECCO Ziera Saucony Revere Anodyne Birkenstock Back to School 2025 Advice Dancing Running Falls Prevention Hiking Beautiful Nails Again Caring For Your Orthotics Annual Orthotic Review Golf Basketball Field Hockey Netball Soccer How To Strap Your Ankle And Foot Cricket F.A.Q; Our Services Bracenfix™ - Ingrown Toenail Treatment Surgical Podiatry Supramalleolar Orthotics (SMOs) Clinical Podiatry Health Funds Custom Foot Orthotics Video Gait Analysis Fungal Nail Infection Laser Treatment Diabetes and Footcare Custom Footwear National Disability Insurance Scheme (NDIS) CAM Walker (Moon Boot) Cam Walker - (Moon Boot) Seniors Footcare Custom Cricket Shoes Cosmetic Nail Restoration Shockwave Therapy Footwear Cobra9 Cycling Orthotics Paraffin Wax Bath Treatment Cryotherapy For Plantar Warts SWIFT Microwave Wart Therapy Resources Ankle-Foot Orthoses Richie Brace; Bracenfix™ - Ingrown Toenail Treatment; Supramalleolar Orthotics (SMOs); Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Cosmetic Nail Restoration; Cobra9 Cycling Orthotics; Cryotherapy For Plantar Warts; Advice Dancing Running Falls Prevention Hiking Beautiful Nails Again Caring For Your Orthotics Annual Orthotic Review Golf Basketball Field Hockey Netball Soccer How To Strap Your Ankle And Foot Cricket; Beautiful Nails Again; Caring Fo
Allsports Podiatry Albany Creek,i Albany Creek Leisure Centre Cnr Old Northern Rd & Explorer Drive Albany Creek QLD 4035,albanycreek@allsportspodiatry.com.au,1800366837,Sports podiatry; Digital Gait analysis; Custom Orthotics; Paediatric assessments; Footwear assessments; General podiatry care
My FootDr Aldinga,i Aldinga Medical Centre 89 Rowley Road Aldinga Beach SA 5173,aldinga@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetic Footcare; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare; Shockwave Therapy; Footwear
My FootDr Allsports Podiatry Parkwood,i Shop 13/122 Napper Rd Parkwood QLD 4214,parkwood@allsportspodiatry.com.au,1800366837,Services & Advice Our Services Bracenfix™ - Ingrown Toenail Treatment Surgical Podiatry Supramalleolar Orthotics (SMOs) Clinical Podiatry Health Funds Custom Foot Orthotics Video Gait Analysis Fungal Nail Infection Laser Treatment Diabetes and Footcare Custom Footwear National Disability Insurance Scheme (NDIS) CAM Walker (Moon Boot) Cam Walker - (Moon Boot) Seniors Footcare Custom Cricket Shoes Cosmetic Nail Restoration Shockwave Therapy Footwear Cobra9 Cycling Orthotics Paraffin Wax Bath Treatment Cryotherapy For Plantar Warts SWIFT Microwave Wart Therapy Resources Ankle-Foot Orthoses Richie Brace Footwear Altra Archies OST1st Running Socks Propet ECCO Ziera Saucony Revere Anodyne Birkenstock Back to School 2025 Advice Dancing Running Falls Prevention Hiking Beautiful Nails Again Caring For Your Orthotics Annual Orthotic Review Golf Basketball Field Hockey Netball Soccer How To Strap Your Ankle And Foot Cricket F.A.Q; Our Services Bracenfix™ - Ingrown Toenail Treatment Surgical Podiatry Supramalleolar Orthotics (SMOs) Clinical Podiatry Health Funds Custom Foot Orthotics Video Gait Analysis Fungal Nail Infection Laser Treatment Diabetes and Footcare Custom Footwear National Disability Insurance Scheme (NDIS) CAM Walker (Moon Boot) Cam Walker - (Moon Boot) Seniors Footcare Custom Cricket Shoes Cosmetic Nail Restoration Shockwave Therapy Footwear Cobra9 Cycling Orthotics Paraffin Wax Bath Treatment Cryotherapy For Plantar Warts SWIFT Microwave Wart Therapy Resources Ankle-Foot Orthoses Richie Brace; Bracenfix™ - Ingrown Toenail Treatment; Supramalleolar Orthotics (SMOs); Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Cosmetic Nail Restoration; Cobra9 Cycling Orthotics; Cryotherapy For Plantar Warts; Advice Dancing Running Falls Prevention Hiking Beautiful Nails Again Caring For Your Orthotics Annual Orthotic Review Golf Basketball Field Hockey Netball Soccer How To Strap Your Ankle And Foot Cricket; Beautiful Nails Again; Caring Fo
My FootDr Allsports Podiatry Aspley,i 2/1370 Gympie Road Aspley QLD 4034,aspley@allsportspodiatry.com.au,1800366837,Services & Advice Our Services Bracenfix™ - Ingrown Toenail Treatment Surgical Podiatry Supramalleolar Orthotics (SMOs) Clinical Podiatry Health Funds Custom Foot Orthotics Video Gait Analysis Fungal Nail Infection Laser Treatment Diabetes and Footcare Custom Footwear National Disability Insurance Scheme (NDIS) CAM Walker (Moon Boot) Cam Walker - (Moon Boot) Seniors Footcare Custom Cricket Shoes Cosmetic Nail Restoration Shockwave Therapy Footwear Cobra9 Cycling Orthotics Paraffin Wax Bath Treatment Cryotherapy For Plantar Warts SWIFT Microwave Wart Therapy Resources Ankle-Foot Orthoses Richie Brace Footwear Altra Archies OST1st Running Socks Propet ECCO Ziera Saucony Revere Anodyne Birkenstock Back to School 2025 Advice Dancing Running Falls Prevention Hiking Beautiful Nails Again Caring For Your Orthotics Annual Orthotic Review Golf Basketball Field Hockey Netball Soccer How To Strap Your Ankle And Foot Cricket F.A.Q; Our Services Bracenfix™ - Ingrown Toenail Treatment Surgical Podiatry Supramalleolar Orthotics (SMOs) Clinical Podiatry Health Funds Custom Foot Orthotics Video Gait Analysis Fungal Nail Infection Laser Treatment Diabetes and Footcare Custom Footwear National Disability Insurance Scheme (NDIS) CAM Walker (Moon Boot) Cam Walker - (Moon Boot) Seniors Footcare Custom Cricket Shoes Cosmetic Nail Restoration Shockwave Therapy Footwear Cobra9 Cycling Orthotics Paraffin Wax Bath Treatment Cryotherapy For Plantar Warts SWIFT Microwave Wart Therapy Resources Ankle-Foot Orthoses Richie Brace; Bracenfix™ - Ingrown Toenail Treatment; Supramalleolar Orthotics (SMOs); Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Cosmetic Nail Restoration; Cobra9 Cycling Orthotics; Cryotherapy For Plantar Warts; Advice Dancing Running Falls Prevention Hiking Beautiful Nails Again Caring For Your Orthotics Annual Orthotic Review Golf Basketball Field Hockey Netball Soccer How To Strap Your Ankle And Foot Cricket; Beautiful Nails Again; Caring Fo
Back In Motion Podiatry Bacchus Marsh,i 118 Gisborne Rd Bacchus Marsh VIC 3340,bacchusmarsh@backinmotion.com.au,1800366837,3; 6; 4
Back In Motion Podiatry Melton,i 386/388 High St Melton VIC 3337,melton@backinmotion.com.au,1800366837,3; 6; 4
My FootDr Ballarat,i 34 Armstrong St N Ballarat Central VIC 3350,ballarat@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetic Footcare; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare; Shockwave Therapy
Advanced Foot Care Bargara,i 8/699 Bargara Road Bargara QLD 4670,bundaberg@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Diabetic Footcare; National Disability Insurance Scheme; Seniors Footcare
My FootDr Bathurst,i 41 Keppel St Bathurst NSW 2795,bathurst@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Diabetic Footcare; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare
